CustomerCode,CustomerName,LocationCode,Address
3ANDRE,ANDREW SHERET PURCHASING LTD.,,
3ANDYS,ANDY'S SHEET METAL ~COD,,
3ANM,ACADIA NORTHWEST MECHANICALLTD,,
3AONE,A ONE MACHINERY LTD,,
3APEXF,APEX FABRICATOR LTD,,
3APEXP,APEX PNEUMATICS LTD,,
3APOLL,APOLLO SHEET METAL LTD.,,
3AQUAF,AQUA FLO PRO-FILING INC,,
3AQUAL,AQUALU INDUSTRIES INC,,
3AQUAR,AQUARIUS METAL FAB ~COD~,,
3ARCHG,ARCHGARD INDUSTRIES LTD,,
3ARCHI,ARCHIE JOHNSTONE PLG & HTG LTD,,
3ARCON,ARCONA ROOFING & SHT METAL LTD,,
3ARLM,AURORA ROOFING LM LTD,,
3ARPAC,ARPAC STORAGE SYSTEMS,,
3ART,ART OF WORK CONSTRUCTION LTD,,
3ARTSH,ART SHEET METAL LTD,,
3ASHTO,ASHTON MECHANICAL LTD DBA ASH-,,
3ASRWL,ADVANCED SYSTEMS ROOFING  ****,,
3ASSOC,ASSOCIATED SHEET METAL ~COD~,,
3AUROR,AURORA ROOFING LTD.,,
3AUSTI,AUSTIN METAL FABRICATORS,,
3AVALL,ALL VALLEY METALS LTD,,
3AWL,AWL TEC LTD,,
3AWR,ALL WEST ROOFING ~COD,,
3AXTON,AXTON INCORPORATED,,
3AZORE,AZORES SHEET METAL,,
3BABAK,BABAK FOOD EQUIPMENT ~COD,,
3BARZA,BAR-ZAL STEEL SUPPLY LTD,,
3BASH,BASH SHEET METAL INC,,
3BCIT,BCIT,,
3BEAV,BEAVER CREEK HOME CENTRE LTD,,
3BENKN,BENKIN SHEET METAL 2008 LTD,,
3BENNE,BENNETT SHEET METAL-COURTNEY,,
3BENZ,BENZ STEEL,,
3BEVCO,BEVCO SALES INTERNATIONAL INC,,
3BHMET,BH METALS LTD ~COD,,
3BIGVA,BIG VALLEY HTG & S/METAL LTD,,
3BIRON,BIRON CONSTRUCTION LTD,,
3BLAKE,BLAKE ERICKSON ROOFING &,,
3BLUE,BLUELINE SHEET METAL MFG LTD,,
3BLUEV,BLUE VALLEY MECHANICAL,,
3BNG,BNG HEATING & SM   ~COD~,,
3BOLLM,BOLLMAN ROOFING & SHEET METAL,,
3BOSS,BOSS SHEET METAL,,
3BOSTO,BOSTON SHEET METAL LTD,,
3BOTH,BOTHWELL-ACCURATE CO. INC.,,
3BRADD,BRADDIK ROOFING & S/M (2014),,
3BRAMA,BRAMA COOLING TECHNIQUES,,
3BRANT,BRANTEC GLAZING SYSTEMS INC,,
3BRENC,BRENCO INDUSTRIES,,
3BRICO,BRICOR MECHANICAL LTD,,
3BRITC,METRIC MODULAR (DBA)*DONT SELL,,
3BROAD,BROADWAY ROOFING CO. LTD,,
3BROCK,BW PRINCE GEORGE STEELS - 872,,
3BULKL,BULKLEY VALLEY HOME CENTRE LTD,,
3BURLY,BURLY SHEET METAL LTD,,
3BURRR,BURRARD ROOFING & DRAINAGE~COD,,
3C3M,C3M MECHANICAL LTD,,
3CAMBI,CAMBIE ROOFING CONT LTD,,
3CANSC,CANADA SCAFFOLD SUPPLY CO.,,
3CANWE,CANWEST MECHANICAL INC,,
3CAPAX,CAPAX CONTRACTING ~COD,,
3CAPEX,CENTRAL APEX CLADDING INC.,,
3CASEY,CASEY'S FLASHINGS & ROOF LTD,,
3CASH,CASH SALES - B.C. (CASC),,
3CCIND,C.C. INDUSTRIES LTD,,
3CCLAD,COMPASS CLADDING INC,,
3CCM,CUSTOM CUT MACHINE INC,,
3CCV,CANADIAN COMMERCIAL VEHICLES,,
3CEDAR,CEDAR GROVE ROOFING SUPPLY,,
3CEDRI,CEDRIC MARINA LTD ~COD,,
3CENTI,CENTIMARK LTD,,
3CENTU,CENTURY PLUMBING & HEATING LTD,,
3CENVA,CENTRAL VALLEY RADIATOR,,
3CG,CLEARBROOK GLASS 2007 LTD,,
3CGD,CHILLIWACK GLASS & DOOR INC,,
3CHAD,CHAD MECHANICAL,,
3CHAP,CHAPMAN MECHANICAL,,
3CHARG,CHARGER ENGINEERING LTD,,
3CHFAB,CAMPBELL HEIGHTS FAB INC ~ COD,,
3CHILL,CHILLIWACK ROOFING LTD.,,
3CITY,CITY SHEET METAL LTD.,,
3CJ,CJ HEATING LTD ~ COD,,
3CJM,CJM TECHNOLOGIES LTD,,
3CJS,CJ'S ROOFING LTD,,
3CLEAR,CLEARBROOK IRON WORKS LTD,,
3CLIMA,CLIMATE DESIGNS LTD,,
3CLVEN,C.L. VENTURES ROOFING,,
3CMCM,COPPER MOUNTAIN CUSTOM METALS,,
3CMET,CUSTOM METAL PRODUCTS INC,,
3CMJ,CMJ HEATING LTD,,
3CMR,COAST MOUNTAIN ROOF LTD,,
3CMS,COAST METAL SOLUTIONS,,
3CMVM,CRUISINE MOBILE VENDING MFGLTD,,
3COAST,ATLAS-APEX ROOFING (B.C.) INC,,
3CODE,CODE ELECTRIC PRODUCTS LTD,,
3CODEM,CODE MANUFACTURING LTD,,
3COLGL,COLUMBIA GLAZING SYSTEMS INC,,
3COLLI,COLLINS MANUFACTURING CO LTD,,
3COMB,COMBINED MECHANICAL CONTR. LTD,,
3COMME,COMMERCIAL SHEET METAL,,
3COMPL,COMPLETE METAL MARKETS LTD~COD,,
3CONSC,CONVOY SUPPLY LTD - COURTENAY,,
3CONT,CONTINENTAL STEEL LTD,,
3CONTI,CONTINENTAL ROOFING,,
3CONVT,CONVOY SUPPLY LTD - TERRACE,,
3COQUI,COQUIHALLA STEEL INDUSTRIESLTD,,
3CPF,COLUMBIA PACIFIC FAB LTD,,
3CRAFT,CRAFTSMAN CUSTOM SHEET ~COD,,
3CRD,CROWN ROOFING & DRAINAGE ARCH.,,
3CRMET,CR METAL FABRICATORS LTD,,
3CRONA,CORONA GAS LTD,,
3CROOF,COAST ROOFING LTD,,
3CROSS,CROSSTOWN METAL INDUSTRIES LTD,,
3CRW,CASCADE ROOFING & EXTERIORS,,
3CTC,CTC CUSTOM FABRICATION INC,,
3CTEC,COPPERTEC REFRIG/HTNG/AC ~ COD,,
3CTH&C,COMFORT TECH HEAT & COOL LTD,,
3CURLY,CURLY'S ROOFING,,
3CUSTP,CUSTOM PRO EXTERIORS LTD,,
3CUTT,CUTTING EDGE FAB,,
3CUTTK,CUTTING EDGE MFG LTD,,
3CWSF,CROWN WEST STEEL FABRICATORS,,
3D&G,D&G MECHANICAL (1997) LTD,,
3DANCO,DANCO ROOFING LTD,,
3DAVE,DAVE'S CUSTOM METAL WORKS LTD,,
3DCT,DCT CHAMBERS TRUCKING LTD,,
3DCWEL,DC WELDING & FABRICATION,,
3DDSWF,D&D SERVICES WELDING & FABRIC-,,
3DEKOF,DEKOFF DEVELOPMENTS (DBA),,
3DEMIC,DEMICO SHEET METAL INC ~COD,,
3DICK,DICKINSON MFG,,
3DIRRO,DIRECT ROOFING & WATERPROOFING,,
3DIXON,DIXON HEATNG & SHEET METAL LTD,,
3DLF,DLF DOMINION SHEET METAL LTD,,
3DOERK,DOERKSEN ROOFING LTD,,
3DOHMS,DAVE DOHMS ~COD,,
3DOLAN,DOLAN'S GASFITTING & HTG LTD,,
3DONCH,DON CHEN ~COD,,
3DORM,DORMEL CONTAINERS,,
3DOWNT,DOWNTOWN CUSTOM METAL ~COD,,
3DRACK,DRACKETT'S INSTALL. LTD,,
3DRAGN,DRAGON FOOD EQUIPMENT INC,,
3DRAKE,DRAKE'S HEATING LIMITED,,
3DSIGN,DESIGN ROOF. & SHEET METAL LTD,,
3DUCT,DUCTWORKS HEATING & A/C LTD,,
3DUNC,DUNCAN'S LIMITED,,
3DWELL,DWELLTECH INDUSTRIESS LTD ~COD,,
3EAGLE,EAGLE SHEET METAL,,
3EBCO,EBCO INDUSTRIES LTD,,
3ECCO,ECCO HEATING PROD LTD - LANGLY,,
3ECO,ECO EXTERIORS (DBA),,
3EDGE,EDGE AIR SYSTEMS LTD,,
3EDUCA,EDUCAN INST. FURNITURE LTD,,
3EEC,EEC INDUSTRIES LTD.,,
3EGLAS,3E GLASS LTD,,
3ELITE,ELITE METAL WORKS LTD,,
3EMBER,EMBERLINE INDUSTRIES LTD.,,
3EMCBU,EMCO CORP #855 - BURNABY,,
3EMCCB,EMCO CORP #752 - CRANBROOK,,
3EMCCH,EMCO CORP #826 - CHILLIWACK,,
3EMCHV,EMCO CORP #841 - HVAC SURREY,,
3EMCKA,EMCO CORP #814 - KAMLOOPS,,
